datetime,price
01-08-2025 11:41:59,11999
07-08-2025 00:47:48,14991
07-08-2025 09:58:29,11999
07-08-2025 20:12:01,14991
09-08-2025 01:16:10,14999
09-08-2025 10:23:48,14991
10-08-2025 17:35:06,14999
11-08-2025 12:15:30,14991
11-08-2025 19:28:43,14999
12-08-2025 10:17:59,12499
12-08-2025 12:18:03,14999
12-08-2025 14:17:46,14991
12-08-2025 20:53:13,14999
13-08-2025 12:50:01,14991
13-08-2025 20:50:15,14949
17-08-2025 00:41:50,12499
18-08-2025 14:03:28,12599
18-08-2025 20:03:17,12499
19-08-2025 00:03:25,12599
19-08-2025 10:29:37,12499
20-08-2025 00:29:41,12599
20-08-2025 10:06:28,12499
21-08-2025 02:07:53,12599
21-08-2025 12:23:39,12499
21-08-2025 16:22:59,12599
21-08-2025 20:36:16,2299
21-08-2025 22:23:29,12599
22-08-2025 08:57:11,12499
23-08-2025 12:57:29,10999
23-08-2025 14:56:53,12599
23-08-2025 17:59:55,12499
24-08-2025 09:40:19,12599
24-08-2025 17:41:16,12499
10-09-2025 08:54:37,12249
14-09-2025 21:30:07,12984
15-09-2025 10:10:33,12249
21-09-2025 18:34:04,13291
22-09-2025 00:34:26,11899
23-09-2025 01:33:30,10099
23-09-2025 09:47:05,11899
