datetime,price
17-07-2025 13:28:24,10749
18-07-2025 09:43:57,11299
18-07-2025 18:24:29,11499
18-07-2025 22:24:34,11299
21-07-2025 13:51:21,11499
30-07-2025 20:03:30,12319
31-07-2025 01:08:22,11199
09-08-2025 01:15:31,11499
09-08-2025 10:23:07,11199
15-08-2025 14:00:48,11499
10-09-2025 08:53:32,11399
14-09-2025 21:29:15,11871
15-09-2025 10:09:41,11199
21-09-2025 18:33:14,12899
22-09-2025 00:33:44,10749
06-10-2025 00:16:43,11349
25-10-2025 00:52:24,12349
25-10-2025 11:17:24,11499
26-10-2025 13:44:06,12349
26-10-2025 20:22:49,11999
03-11-2025 16:53:12,12349
03-11-2025 22:52:26,11999
