datetime,price
09-02-2026 15:49:42,14299
23-02-2026 15:57:40,14199
27-02-2026 18:05:51,11379
16-03-2026 12:56:28,14100
26-03-2026 11:47:36,15889
26-03-2026 17:47:37,14100
27-03-2026 09:45:01,15889
30-03-2026 00:21:25,14049
30-03-2026 09:59:18,7549
30-03-2026 19:59:11,14049
30-03-2026 21:59:09,7549
30-03-2026 23:59:05,7639
31-03-2026 10:14:17,14049
31-03-2026 14:14:11,7639
01-04-2026 16:28:11,14049
01-04-2026 19:13:52,7639
02-04-2026 09:43:18,14049
02-04-2026 13:12:49,7639
02-04-2026 22:32:20,14049
03-04-2026 09:58:07,7639
03-04-2026 21:57:54,9999
04-04-2026 01:57:53,7639
04-04-2026 10:02:08,9999
04-04-2026 12:33:08,7639
06-04-2026 14:49:05,15889
12-04-2026 16:11:41,20588
12-04-2026 18:11:48,20583
12-04-2026 20:31:43,7639
13-04-2026 02:11:50,20623
13-04-2026 19:46:26,9999
14-04-2026 14:06:59,7639
15-04-2026 09:56:45,9999
15-04-2026 11:56:45,7000
16-04-2026 12:16:09,9999
16-04-2026 20:51:43,7000
17-04-2026 10:10:11,11819
17-04-2026 14:50:56,9999
17-04-2026 18:50:39,15959
20-04-2026 21:18:01,9999
21-04-2026 09:52:47,15889
08-05-2026 10:40:20,14999
16-05-2026 00:07:44,15699
27-05-2026 18:43:53,14975
27-05-2026 20:06:28,15699
27-05-2026 22:03:48,14975
29-05-2026 23:27:36,15699
30-05-2026 01:23:20,14975
27-06-2026 13:41:12,15879
27-06-2026 15:41:09,14975
