datetime,price
20-03-2026 03:25:53,14500
21-03-2026 00:00:00,14500
15-04-2026 07:18:41,17500
16-04-2026 18:58:38,17999
17-04-2026 03:59:28,17500
29-04-2026 08:00:18,17900
29-04-2026 19:08:27,17500
01-05-2026 18:57:21,17200
14-05-2026 19:27:16,16999
16-05-2026 04:24:04,17900
01-06-2026 11:08:22,16999
01-06-2026 21:21:21,17900
05-06-2026 05:10:06,17500
08-06-2026 05:22:55,16999
18-06-2026 05:27:53,22998
18-06-2026 10:04:27,16999
29-06-2026 05:22:21,22499
04-07-2026 08:24:15,20999
10-07-2026 09:18:35,22999
15-07-2026 07:49:57,22998
18-07-2026 07:27:16,19999
21-07-2026 19:03:21,22998
25-07-2026 07:50:33,20999
29-07-2026 08:19:58,19999
07-08-2026 18:40:10,18999
08-08-2026 02:50:16,22999
