name,price,status,important,link
Creative Pebble 2.0 USB-Powered Desktop Speakers with Far-Field,2099,,,https://www.amazon.in/dp/B0791H74NT
Dune,450,Unavailable,False,https://www.amazon.in/dp/0441172717
Kingston Fury 16GB 3200MHz DDR4 CL20 SODIMM Fury,16000,,,https://www.amazon.in/dp/B097QLN123
Ant Esports Riser 20 Heavy Duty Monitor and,899,,,https://www.amazon.in/dp/B0DW93QR65
Nokia 220 4G | All-new 4G Keypad Phone,3399,,,https://www.amazon.in/dp/B0D5HMXD53
Redmi Pad SE| All Day Battery | Qualcomm,19499,,,https://www.amazon.in/dp/B0D1C7KM6Y
Samsung Galaxy S24 FE 5G AI Smartphone,39999,,,https://www.amazon.in/dp/B0DHL7YT5S
Samsung Galaxy M56 5G Mobile,28999,Unavailable,,https://www.amazon.in/dp/B0F43VZ4H1
"Redmi Pad 2 Wi-Fi, Active Pen Support, 27.94cm",20999,Unavailable,,https://www.amazon.in/dp/B0GQSH6FBT
Samsung Galaxy S25 FE 5G Smartphone with Galaxy,48188,Unavailable,,https://www.amazon.in/dp/B0FNMR6KTQ
"SANDISK Ultra Flair 64GB, USB 3.0, Flash Drive,",991,,,https://www.amazon.in/dp/B07SLMR1K6
Western Digital 1TB WD Green SN3000 NVMe Internal,17499,,,https://www.amazon.in/dp/B0DMHKPC6J
